id;name;icon;description
1;Table;open-source;../fake-data/blob/hipster.txt
2;Integration;Refined metrics e-commerce;../fake-data/blob/hipster.txt
3;Chief;XML Chips Kentucky;../fake-data/blob/hipster.txt
4;Steel transmitting Nevada;harness Georgia Hat;../fake-data/blob/hipster.txt
5;Program mesh;Designer array;../fake-data/blob/hipster.txt
6;Verde;Loan Music;../fake-data/blob/hipster.txt
7;Bedfordshire Investor;Front-line plug-and-play Versatile;../fake-data/blob/hipster.txt
8;Rustic Handcrafted JSON;Loan connecting systems;../fake-data/blob/hipster.txt
9;networks;Avon XML;../fake-data/blob/hipster.txt
10;invoice Sleek azure;feed Kids;../fake-data/blob/hipster.txt
