id;code;value;description
1;Associate;circuit Strategist Central;state Regional synergies
2;Credit Leone;AI;solution Berkshire Salvador
3;Polarised Pound eyeballs;Secured;generate
4;Electronics Agent;intuitive;fresh-thinking Planner
5;Fantastic;needs-based partnerships;clicks-and-mortar grey
6;card Fresh;Croatian;TCP Úc
7;parsing Exclusive Plastic;executive Helena Berkshire;Plastic Ghana
8;SMTP salmon intermediate;backing Bedfordshire;TCP azure interfaces
9;state Decentralized;Games;Plastic invoice mobile
10;Account withdrawal navigating;Salad Beauty;Branding
