id;title;content;price;square;address;phone;google_maps_location;width;length;direction;distance;legal;number_of_floors;number_of_bedroom;has_kitchen;has_dinning_room;has_rooftop;has_garage;is_vip;posting_time;expired_time;brokerage_fees;status;star;hash;type_id;category_id;user_id;province_id;district_id;street_id
1;Singapore Mexico;../fake-data/blob/hipster.txt;52091;4244;invoice action-items Steel;025 8734 2031;Guiné-Bissau magenta;34629;19200;New Isle;Markets Optimized hardware;bypassing Common;26712;82737;false;false;false;true;true;2024-01-13;2024-01-12;36085;REJECTED;40160;collaborative Comoros Shoes;1;1;1;1;1;1
2;plum withdrawal Sleek;../fake-data/blob/hipster.txt;54898;62869;Wooden;0273 1750 0314;Technician;41787;87039;service-desk calculate Home;bandwidth Fundamental redefine;out-of-the-box withdrawal matrix;39644;40324;true;true;false;true;true;2024-01-12;2024-01-13;57048;REJECTED;28035;Avon Gateway deposit;2;2;2;2;2;2
3;Cotton Administrator;../fake-data/blob/hipster.txt;82760;9307;bandwidth Enterprise-wide;0222 5759 1403;program New;6658;95596;input;Kids;copy;39184;49381;false;false;false;true;true;2024-01-12;2024-01-12;86796;REJECTED;81969;Checking ubiquitous;3;3;1;3;3;3
4;Ergonomic;../fake-data/blob/hipster.txt;74793;21958;pricing contingency;0285 5582 7149;calculating Corporate whiteboard;48912;42859;Frozen Multi-tiered;Program withdrawal;Down-sized;33177;22509;true;false;false;false;true;2024-01-12;2024-01-13;946;WAITING;798;Representative payment;4;4;2;4;4;4
5;architectures SMTP;../fake-data/blob/hipster.txt;72835;97256;Handmade;0267 1215 5768;Engineer;16349;38394;magnetic Plastic multi-byte;Birr array;brand Analyst Applications;98443;7841;false;false;false;false;false;2024-01-12;2024-01-13;93805;WAITING;94967;Isle;5;5;1;5;5;5
6;Borders Baby;../fake-data/blob/hipster.txt;39403;3168;index Sausages;028 4504 4418;Uzbekistan;61744;69612;Checking;Agent Denar;turn-key Investor markets;2029;53370;true;false;false;false;false;2024-01-13;2024-01-13;63276;WAITING;56473;Open-source;6;6;2;6;6;6
7;compressing Factors Consultant;../fake-data/blob/hipster.txt;59246;83039;Associate;027 5958 6322;invoice ADP;30836;85843;capability;compelling;program Account California;11875;40817;false;true;true;false;true;2024-01-12;2024-01-12;64916;REJECTED;49234;Checking Ball Metal;7;7;2;7;7;7
8;Paradigm yellow;../fake-data/blob/hipster.txt;80062;90896;Garden Bedfordshire;028 6799 5662;Networked;42899;37162;Riel;Designer;microchip Tala;49668;59683;true;true;true;true;true;2024-01-12;2024-01-12;24494;REJECTED;59328;SMTP Developer invoice;8;8;2;8;8;8
9;Corporate Franc;../fake-data/blob/hipster.txt;90824;77889;Frozen;0282 4676 7701;Circle synthesize;79891;49520;challenge Dynamic 1080p;Shoes;Industrial;46141;94639;true;false;false;true;true;2024-01-12;2024-01-12;74825;WAITING;53317;Refined;9;9;2;9;9;9
10;Legacy Garden model;../fake-data/blob/hipster.txt;13412;6929;Dinar;026 9259 1718;compressing Pula;49295;78340;Cotton Chicken;Table Granite;Account Solutions Regional;72440;64360;false;false;true;false;true;2024-01-12;2024-01-12;29855;WAITING;3011;infrastructure Division Quality;10;10;2;10;10;10
